FFT_EMG0R_P1,FFT_EMG0R_P2,FFT_EMG0R_P3,FFT_EMG4R_P1,FFT_EMG4R_P2,FFT_EMG4R_P3,FFT_ALY_P1,FFT_ALY_P2,FFT_ALY_P3,FFT_GLY_P1,FFT_GLY_P2,FFT_GLY_P3,FFT_GLZ_P1,FFT_GLZ_P2,FFT_GLZ_P3,PSD_EMG4L_P1,PSD_EMG4L_P2,PSD_EMG4L_P3,PSD_EMG0L_P1,PSD_EMG0L_P2,PSD_EMG0L_P3,PSD_EMG1L_P1,PSD_EMG1L_P2,PSD_EMG1L_P3,PSD_EMG3R_P1,PSD_EMG3R_P2,PSD_EMG3R_P3,PSD_EMG5L_P1,PSD_EMG5L_P2,PSD_EMG5L_P3,DWT_EMG5L_P1,DWT_EMG5L_P2,DWT_EMG5L_P3,DWT_EMG0R_P1,DWT_EMG0R_P2,DWT_EMG0R_P3,DWT_EMG4R_P1,DWT_EMG4R_P2,DWT_EMG4R_P3,DWT_OYR_P1,DWT_EMG4R_P2,DWT_EMG4R_P3,DWT_EMG4L_P1,DWT_EMG4L_P2,DWT_EMG4L_P3,RMS_GRX,RMS_GRY,RMS_GLZ,RMS_GRZ,RMS_ALX,STD_EMG5L,STD_EMG6L,STD_EMG7L,STD_EMG4L,STD_EMG0R
1.37778,0.975929,0.73477,1.5726,1.47602,1.3293,0.608353,0.349175,0.337607,11.2694,6.82791,5.58614,11.2694,6.82791,5.58614,10.8823,10.8823,10.8823,3.39758,3.39755,3.39746,2.991,2.99099,2.99094,4.03526,4.03521,4.03505,2.74751,2.7475,2.74745,4.59041,2.59441,1.64714,1.48902,0.895759,0.851616,9.31736,6.22579,3.5469,10.5358,10.3082,10.3082,5.42664,5.24865,2.77618,2.74254,2.74254,11.7621,2.74254,0.55018,2.16678,3.59264,2.9743,3.91733,1.57088
0.989825,0.95858,0.762773,2.52481,2.40799,2.11007,0.889865,0.0647741,0.0590701,10.2028,9.78806,8.20393,10.2028,9.78806,8.20393,12.9807,12.9806,12.9806,6.23594,6.23592,6.23591,10.9829,10.9829,10.9828,7.48232,7.48232,7.48225,12.8667,12.8667,12.8666,8.51405,4.83394,3.79252,2.15824,2.15123,1.44994,13.4845,6.80623,6.48938,7.68221,7.67489,7.67187,9.48746,5.51985,1.9713,1.91696,1.91696,13.9014,1.91696,0.161282,7.03763,5.94987,2.68742,5.06324,1.5544
1.32636,1.13333,1.00043,2.21644,2.18625,1.98487,0.742871,0.254699,0.149195,13.6127,11.2163,10.8787,13.6127,11.2163,10.8787,17.1629,17.1629,17.1628,7.52598,7.52597,7.52594,8.47897,8.47896,8.47886,7.34049,7.34047,7.34046,16.2543,16.2543,16.2542,18.1053,12.5726,11.9541,2.46686,2.1916,0.273698,10.5603,7.63321,4.06788,8.76154,8.71408,8.62895,10.8235,9.53221,8.58122,12.7789,12.7789,20.1312,12.7789,0.50767,7.57508,6.56606,5.00737,7.05784,1.72679
1.28889,1.25803,1.19083,3.70595,3.56741,3.4625,0.577658,0.329825,0.07788,14.4842,13.3891,9.41908,14.4842,13.3891,9.41908,8.38316,8.38314,8.38309,3.87442,3.87441,3.87437,6.42285,6.42284,6.42282,9.99964,9.99964,9.99958,6.55381,6.5538,6.55378,22.1448,10.1564,3.75209,3.72647,1.75711,1.67603,19.6507,17.7408,11.073,9.41136,9.37135,9.363,20.7222,13.0745,10.9508,9.61753,9.61753,19.2317,9.61753,0.717545,8.4535,5.03423,4.00795,5.04174,2.40853
0.962453,0.933364,0.9249,5.19339,3.94037,3.89037,0.666938,0.309103,0.103215,9.51191,8.93332,8.75283,9.51191,8.93332,8.75283,13.0265,13.0265,13.0265,6.86736,6.86735,6.86731,8.71689,8.71689,8.71686,12.4895,12.4894,12.4893,12.6368,12.6368,12.6368,8.92103,3.9101,3.60461,2.25281,1.86359,1.49218,16.0544,8.3272,6.58365,9.22249,9.19944,9.1982,13.0922,7.72694,4.84571,8.29743,8.29743,12.7997,8.29743,0.596405,6.4258,5.81534,2.87307,4.69504,2.00706
1.4,1.30904,1.23787,9.18772,8.82653,7.8469,0.653179,0.297859,0.0909711,11.7409,8.90632,8.673,11.7409,8.90632,8.673,3.73136,3.73133,3.73121,7.34646,7.34646,7.34641,7.63593,7.63592,7.63584,8.00683,8.0068,8.00672,5.20017,5.20012,5.19997,3.94054,2.77354,0.8178,8.7173,1.81869,0.586123,10.6991,8.25066,3.86804,9.03472,9.02187,9.01527,1.81593,1.40405,0.69166,12.5674,12.5674,17.5325,12.5674,0.605974,3.5586,7.71899,4.45686,2.21382,2.52623
1.34635,1.2343,1.12298,3.39846,3.18649,3.0575,0.59515,0.347618,0.089232,13.4741,10.1819,7.05428,13.4741,10.1819,7.05428,15.5578,15.5578,15.5578,10.2858,10.2858,10.2858,11.3028,11.3028,11.3028,8.4181,8.41805,8.41803,13.2367,13.2367,13.2367,11.8298,6.85407,3.57809,3.39923,2.96502,1.97751,8.67086,8.03205,7.28467,9.35453,9.34995,9.34798,16.5953,1.84753,1.67681,8.8207,8.8207,15.8542,8.8207,0.682553,5.81855,4.8584,4.21337,5.82142,2.55307
0.811207,0.776521,0.762087,3.75755,3.68104,3.36995,0.575184,0.330651,0.0807974,11.5648,11.1564,10.2814,11.5648,11.1564,10.2814,11.8705,11.8705,11.8705,12.0648,12.0648,12.0647,9.46509,9.46508,9.46505,9.89242,9.8924,9.89232,9.59154,9.59153,9.59152,7.86013,7.05274,3.08762,2.76745,1.88942,1.08438,7.90731,7.19175,6.60971,9.23205,9.23086,9.22842,9.89021,6.24655,5.63854,12.0811,12.0811,18.7842,12.0811,0.703219,4.21254,3.01813,3.47327,3.4404,1.7761
2.061,1.6,1.376,4.34172,4.33954,3.87332,0.573687,0.347997,0.118768,16.3737,14.781,13.0779,16.3737,14.781,13.0779,9.69288,9.69286,9.69281,11.6229,11.6228,11.6228,13.2797,13.2797,13.2796,11.4724,11.4723,11.4722,8.127,8.12699,8.12698,4.62309,4.3345,4.01798,2.63034,1.63273,0.720601,27.282,13.9722,6.3035,9.5471,9.52858,9.52566,14.1038,10.9096,3.83683,21.7847,21.7847,25.8267,21.7847,0.687481,4.49556,5.93372,5.92308,4.31675,2.98785
2.74832,2.30212,1.66667,4.63787,4.60604,4.59422,0.522808,0.332079,0.109227,14.4623,11.1005,10.4825,14.4623,11.1005,10.4825,16.1817,16.1817,16.1817,8.8101,8.81007,8.81005,11.4388,11.4387,11.4387,16.8383,16.8383,16.8382,15.704,15.704,15.7039,9.99857,8.87981,8.48911,2.63968,1.76731,1.55903,20.8425,17.1902,14.4275,10.4558,9.6246,9.56676,10.9698,4.86885,2.71171,17.4913,17.4913,21.5057,17.4913,0.729669,7.72331,3.19912,7.51006,5.92989,4.60237
