FFT_EMG0R_P1,FFT_EMG0R_P2,FFT_EMG0R_P3,FFT_EMG4R_P1,FFT_EMG4R_P2,FFT_EMG4R_P3,FFT_ALY_P1,FFT_ALY_P2,FFT_ALY_P3,FFT_GLY_P1,FFT_GLY_P2,FFT_GLY_P3,FFT_GLZ_P1,FFT_GLZ_P2,FFT_GLZ_P3,PSD_EMG4L_P1,PSD_EMG4L_P2,PSD_EMG4L_P3,PSD_EMG0L_P1,PSD_EMG0L_P2,PSD_EMG0L_P3,PSD_EMG1L_P1,PSD_EMG1L_P2,PSD_EMG1L_P3,PSD_EMG3R_P1,PSD_EMG3R_P2,PSD_EMG3R_P3,PSD_EMG5L_P1,PSD_EMG5L_P2,PSD_EMG5L_P3,DWT_EMG5L_P1,DWT_EMG5L_P2,DWT_EMG5L_P3,DWT_EMG0R_P1,DWT_EMG0R_P2,DWT_EMG0R_P3,DWT_EMG4R_P1,DWT_EMG4R_P2,DWT_EMG4R_P3,DWT_OYR_P1,DWT_EMG4R_P2,DWT_EMG4R_P3,DWT_EMG4L_P1,DWT_EMG4L_P2,DWT_EMG4L_P3,RMS_GRX,RMS_GRY,RMS_GLZ,RMS_GRZ,RMS_ALX,STD_EMG5L,STD_EMG6L,STD_EMG7L,STD_EMG4L,STD_EMG0R
2.25531,2.23748,1.94559,1.12173,0.981964,0.893289,0.776769,0.297454,0.146573,37.7946,22.9883,19.0134,37.7946,22.9883,19.0134,23.7136,23.7136,23.7135,12.3002,12.3001,12.3001,16.3625,16.3624,16.3624,-0.0680376,-0.06809,-0.0682471,18.7522,18.7522,18.7521,73.9522,44.5754,23.6163,12.1337,4.50831,2.77344,2.91965,1.04138,0.74535,9.69988,9.64742,9.5884,41.4751,20.1913,19.1287,13.0564,13.0564,40.7446,13.0564,0.592189,22.0176,8.24388,14.9654,29.7112,4.02618
1.63531,1.52114,1.35871,1.17778,0.697838,0.571976,0.510579,0.314427,0.170555,15.677,14.8614,14.0006,15.677,14.8614,14.0006,12.8917,12.8917,12.8917,3.84715,3.84711,3.84699,6.60115,6.60113,6.60106,2.2669,2.26684,2.26663,18.0769,18.0769,18.0767,46.5315,15.6759,7.87481,1.04594,0.696441,0.562527,1.04762,0.818867,0.271715,9.55341,9.527,9.29381,68.4654,45.9792,29.3117,11.0682,11.0682,26.5383,11.0682,0.845268,23.2291,11.8348,10.1063,26.7947,2.72196
1.41966,1.31395,1.24444,1.17778,0.760375,0.699526,0.658127,0.377993,0.0664332,21.3137,18.6102,15.4134,21.3137,18.6102,15.4134,17.8268,17.8267,17.8267,19.5643,19.5643,19.5643,12.4971,12.4971,12.4971,3.82298,3.82293,3.8228,10.8423,10.8423,10.8422,20.6367,8.91595,8.29231,2.30745,2.06639,1.50685,1.71295,0.707993,0.584734,9.7731,9.64975,9.59124,43.7839,12.2841,7.62377,12.24,12.24,32.5504,12.24,0.724543,6.51882,6.70353,10.34,13.1568,2.67272
1.67698,1.14964,1.05986,1.28889,0.589378,0.58402,0.601845,0.412968,0.0894035,28.1996,21.2887,16.554,28.1996,21.2887,16.554,24.2333,24.2333,24.2332,15.6682,15.6682,15.6681,16.8873,16.8872,16.8872,2.68876,2.68871,2.68858,21.3614,21.3614,21.3614,78.1261,27.5603,10.3793,1.02696,1.00544,0.556089,0.562768,0.348705,0.147318,9.41838,9.41392,9.29344,42.0885,28.4536,12.7105,12.9918,12.9918,41.8591,12.9918,0.836496,20.0574,11.6844,10.16,19.4686,2.34025
0,0,0,0,0,0,0.566569,0.402892,0.0749437,32.543,32.4568,30.293,32.543,32.4568,30.293,25.3444,25.3443,25.3442,15.6944,15.6943,15.6943,17.0043,17.0043,17.0043,9.0309,9.03084,9.03068,20.8063,20.8063,20.8063,22.4415,16.3647,11.9863,0,0,0,0,0,0,9.14412,9.14412,9.14412,39.9166,24.7307,13.379,9.125,9.125,46.1702,9.125,0.819668,16.6113,6.19808,12.3285,23.4319,0
0,0,0,0,0,0,0.598253,0.409109,0.0672845,24.521,22.7099,20.2451,24.521,22.7099,20.2451,20.3957,20.3957,20.3957,18.3856,18.3855,18.3855,12.9943,12.9943,12.9943,9.0309,9.03084,9.03068,13.8937,13.8937,13.8937,20.9519,11.2483,7.87084,0,0,0,0,0,0,9.14412,9.14412,9.14412,43.7861,38.8683,36.3543,9.125,9.125,34.8783,9.125,0.787011,6.09006,5.30275,6.59752,18.1411,0
0,0,0,0,0,0,0.585753,0.393376,0.0811574,31.3865,26.801,23.5001,31.3865,26.801,23.5001,23.3118,23.3117,23.3117,16.0827,16.0827,16.0826,15.6959,15.6958,15.6958,9.0309,9.03084,9.03068,24.9306,24.9306,24.9306,22.1298,15.6351,7.6305,0,0,0,0,0,0,9.14412,9.14412,9.14412,62.3728,16.9594,12.3337,9.125,9.125,43.4414,9.125,0.76476,16.7068,6.2509,11.9164,18.4389,0
0,0,0,0,0,0,0.591862,0.43058,0.0697303,26.6569,19.5127,16.9324,26.6569,19.5127,16.9324,23.6285,23.6285,23.6284,18.6229,18.6229,18.6229,17.4997,17.4997,17.4996,9.0309,9.03084,9.03068,22.5858,22.5858,22.5858,67.2849,34.2105,14.4491,0,0,0,0,0,0,9.14412,9.14412,9.14412,83.1896,29.5549,25.0724,9.125,9.125,32.9487,9.125,0.784948,15.1276,5.5309,7.96983,19.6765,0
0,0,0,0,0,0,0.577148,0.399617,0.0881587,30.0545,23.7397,21.3152,30.0545,23.7397,21.3152,22.0972,22.0972,22.0972,20.1326,20.1326,20.1326,21.44,21.4399,21.4399,9.0309,9.03084,9.03068,20.6552,20.6552,20.6552,37.201,15.3891,10.2202,0,0,0,0,0,0,9.14412,9.14412,9.14412,64.4004,32.499,29.9922,9.125,9.125,42.1882,9.125,0.804932,13.1747,5.55714,7.7975,22.3825,0
0,0,0,0,0,0,0.59388,0.40413,0.0657182,27.1416,22.5225,21.6566,27.1416,22.5225,21.6566,20.8835,20.8835,20.8835,18.7113,18.7113,18.7112,15.1956,15.1955,15.1955,9.0309,9.03084,9.03068,23.3646,23.3646,23.3645,33.1938,7.24013,7.0151,0,0,0,0,0,0,9.14412,9.14412,9.14412,24.8942,15.5935,14.8258,9.125,9.125,41.7309,9.125,0.777058,13.5452,5.17053,9.29223,14.5054,0
4.12021,3.82196,2.91456,6.71571,6.57809,6.2486,0.197342,0.0086924,0.00612851,6.82661,4.49251,3.68406,6.82661,4.49251,3.68406,2.19817,2.19812,2.19798,2.79521,2.79516,2.795,4.92601,4.92596,4.9258,15.9198,15.9198,15.9198,4.59287,4.59282,4.59266,0.353063,0.0409177,-0.37701,11.4367,6.45976,4.73044,24.9819,14.7508,11.7737,10.2323,9.92133,9.68223,2.47725,0.59656,0.443824,54.2395,54.2395,9.26508,54.2395,0.975873,2.31159,3.58406,2.3741,1.55927,7.23194
5.83545,5.58486,4.94854,6.47946,5.8257,5.70851,0.198633,0.00509543,0.00446482,4.15065,3.71471,3.09361,4.15065,3.71471,3.09361,3.42526,3.42521,3.42506,1.98424,1.98418,1.98401,4.56982,4.56978,4.56965,20.5375,20.5375,20.5375,1.33563,1.33554,1.3353,1.63738,0.288075,-0.446339,22.4927,18.8181,14.9299,38.8569,15.7433,15.4079,10.2657,10.0928,9.78126,0.625189,0.601679,0.421846,43.7848,43.7848,5.955,43.7848,0.975906,1.09959,0.990867,1.0435,1.05073,10.5671
