FFT_EMG0R_P1,FFT_EMG0R_P2,FFT_EMG0R_P3,FFT_EMG4R_P1,FFT_EMG4R_P2,FFT_EMG4R_P3,FFT_ALY_P1,FFT_ALY_P2,FFT_ALY_P3,FFT_GLY_P1,FFT_GLY_P2,FFT_GLY_P3,FFT_GLZ_P1,FFT_GLZ_P2,FFT_GLZ_P3,PSD_EMG4L_P1,PSD_EMG4L_P2,PSD_EMG4L_P3,PSD_EMG0L_P1,PSD_EMG0L_P2,PSD_EMG0L_P3,PSD_EMG1L_P1,PSD_EMG1L_P2,PSD_EMG1L_P3,PSD_EMG3R_P1,PSD_EMG3R_P2,PSD_EMG3R_P3,PSD_EMG5L_P1,PSD_EMG5L_P2,PSD_EMG5L_P3,DWT_EMG5L_P1,DWT_EMG5L_P2,DWT_EMG5L_P3,DWT_EMG0R_P1,DWT_EMG0R_P2,DWT_EMG0R_P3,DWT_EMG4R_P1,DWT_EMG4R_P2,DWT_EMG4R_P3,DWT_OYR_P1,DWT_EMG4R_P2,DWT_EMG4R_P3,DWT_EMG4L_P1,DWT_EMG4L_P2,DWT_EMG4L_P3,RMS_GRX,RMS_GRY,RMS_GLZ,RMS_GRZ,RMS_ALX,STD_EMG5L,STD_EMG6L,STD_EMG7L,STD_EMG4L,STD_EMG0R
5.97988,5.02083,4.64234,1.59363,1.53674,1.41239,0.375575,0.195636,0.0873585,16.3499,15.7145,12.0882,16.3499,15.7145,12.0882,12.8071,12.807,12.807,17.6562,17.6562,17.6562,16.3004,16.3004,16.3003,8.42237,8.42236,8.42234,10.5948,10.5948,10.5946,12.4928,2.70218,2.2266,14.7557,13.9063,12.4055,3.60735,1.23828,0.87596,5.55329,5.52324,5.50597,34.2263,16.5958,8.17152,21.5565,21.5565,26.2018,21.5565,0.915244,4.94434,6.65431,14.2532,12.4072,9.55278
6.00036,5.58346,5.42833,1.84184,1.81734,1.37635,0.40064,0.239217,0.0879208,18.2909,15.2534,13.2276,18.2909,15.2534,13.2276,10.6377,10.6377,10.6377,18.0553,18.0552,18.0551,11.4024,11.4023,11.4021,12.0042,12.0042,12.0042,11.9248,11.9247,11.9246,2.33658,0.793122,0.511155,36.6298,5.55288,4.60365,8.13457,3.5082,1.92502,5.71207,5.70852,5.70076,22.2248,13.6687,11.087,32.243,32.243,23.9297,32.243,0.895756,4.05169,7.33161,10.8159,7.78985,11.0993
5.53611,4.08839,3.11265,2.56905,2.24829,1.72789,0.375575,0.232099,0.0943005,11.476,7.22205,6.95588,11.476,7.22205,6.95588,9.70133,9.70133,9.7012,16.7724,16.7724,16.7724,18.0414,18.0414,18.0414,16.5349,16.5349,16.5349,8.97426,8.97421,8.97421,13.0371,10.7179,8.9737,24.921,12.1854,9.66224,5.32113,5.17322,4.26857,5.67694,5.66511,5.62508,56.5724,11.5537,9.95151,23.1066,23.1066,17.0803,23.1066,0.885616,5.00101,10.6134,10.5295,10.4286,8.26536
5.3579,5.21054,5.12112,2.55025,2.20854,2.06371,0.423134,0.290423,0.0976319,17.6712,12.6812,11.7247,17.6712,12.6812,11.7247,22.956,22.956,22.9559,18.2483,18.2483,18.2483,15.3635,15.3635,15.3635,13.561,13.561,13.5609,12.2484,12.2484,12.2483,10.2872,9.60105,4.97647,12.5517,5.4126,5.38519,7.54198,6.69967,5.68492,5.77182,5.75789,5.74789,3.95888,1.12749,0.118065,22.8088,22.8088,22.4151,22.8088,0.849882,4.42411,11.6787,16.5373,12.1977,12.0105
3.36593,3.33154,2.31641,1.27683,1.22135,1.20757,0.431738,0.291534,0.0870526,14.4199,10.3592,9.45835,14.4199,10.3592,9.45835,12.9194,12.9194,12.9192,19.457,19.457,19.4569,16.4061,16.406,16.406,9.77604,9.77597,9.77579,10.9611,10.9611,10.9611,8.77242,8.57935,3.57362,10.5243,5.578,3.48749,6.97459,6.03287,2.69063,5.80568,5.80026,5.78096,27.3163,25.8853,2.84659,29.8332,29.8332,19.4516,29.8332,0.845643,6.03625,7.05698,11.0662,10.1188,5.99014
3.61363,3.55545,3.17615,1.33915,1.33142,1.08481,0.317831,0.274479,0.0784071,11.8163,10.7488,9.82796,11.8163,10.7488,9.82796,10.1013,10.1013,10.1013,14.6939,14.6938,14.6938,11.0109,11.0109,11.0107,12.283,12.283,12.2829,6.9171,6.91708,6.91702,9.9831,1.24846,0.132112,10.1735,9.17036,8.25567,4.52381,1.73897,1.23092,6.22377,5.9151,5.84086,5.38696,4.19467,2.49768,20.1404,20.1404,16.7266,20.1404,0.742859,4.39088,6.89737,14.6635,17.2769,6.97579
3.36536,3.00528,2.32038,0.898318,0.844444,0.827232,0.341927,0.207778,0.115457,11.4312,10.9009,9.03243,11.4312,10.9009,9.03243,7.88327,7.88323,7.8831,14.3799,14.3799,14.3798,13.9085,13.9085,13.9085,11.9372,11.9371,11.9369,10.736,10.736,10.7359,16.177,4.51411,1.33399,12.4147,11.8866,4.09803,2.23273,1.1016,0.75021,5.99028,5.9864,5.98135,28.6956,2.26913,2.26357,19.6206,19.6206,20.591,19.6206,0.890573,4.5297,7.06213,15.203,8.61365,5.90454
7.46847,5.40104,5.15014,2.02406,1.87132,1.83017,0.336285,0.189638,0.0979894,9.13574,7.48784,6.45504,9.13574,7.48784,6.45504,12.127,12.127,12.127,17.329,17.329,17.329,12.557,12.557,12.557,14.3736,14.3736,14.3736,8.60923,8.60916,8.60897,2.26999,1.35042,0.169773,42.6635,13.5275,7.46373,7.50096,4.28302,3.35975,6.5706,6.53256,6.48956,19.8755,5.28368,1.40573,19.4931,19.4931,13.551,19.4931,0.909492,4.05418,4.40328,10.4196,6.76832,11.9055
5.93503,4.38553,4.07689,1.88357,1.62101,1.31318,0.296593,0.124039,0.0816622,8.16719,7.44933,7.09671,8.16719,7.44933,7.09671,8.9002,8.90014,8.89995,15.7721,15.7721,15.772,16.524,16.524,16.524,7.71037,7.71036,7.71025,6.06988,6.06985,6.06974,9.85722,5.23258,3.32956,29.7494,14.3214,10.0656,3.15689,2.19395,1.64214,6.63107,6.63095,6.61154,52.0379,2.26206,1.9655,14.3266,14.3266,15.9704,14.3266,0.961779,4.83652,9.2691,14.2953,12.0763,10.0942
3.56252,3.28474,2.81061,5.0103,4.48605,3.57333,0.339442,0.169036,0.0936065,14.7269,10.9642,9.35825,14.7269,10.9642,9.35825,3.71134,3.71129,3.71124,14.5617,14.5617,14.5617,13.6987,13.6987,13.6987,4.26856,4.26853,4.26851,5.88514,5.88512,5.88498,16.5932,2.21708,1.41789,16.7947,11.045,9.97508,5.87,5.58752,3.26099,6.91171,6.90701,6.80947,6.6571,4.96046,3.69935,27.8606,27.8606,20.7762,27.8606,0.90942,9.84286,14.3588,19.3284,10.503,7.20606
