FFT_EMG0R_P1,FFT_EMG0R_P2,FFT_EMG0R_P3,FFT_EMG4R_P1,FFT_EMG4R_P2,FFT_EMG4R_P3,FFT_ALY_P1,FFT_ALY_P2,FFT_ALY_P3,FFT_GLY_P1,FFT_GLY_P2,FFT_GLY_P3,FFT_GLZ_P1,FFT_GLZ_P2,FFT_GLZ_P3,PSD_EMG4L_P1,PSD_EMG4L_P2,PSD_EMG4L_P3,PSD_EMG0L_P1,PSD_EMG0L_P2,PSD_EMG0L_P3,PSD_EMG1L_P1,PSD_EMG1L_P2,PSD_EMG1L_P3,PSD_EMG3R_P1,PSD_EMG3R_P2,PSD_EMG3R_P3,PSD_EMG5L_P1,PSD_EMG5L_P2,PSD_EMG5L_P3,DWT_EMG5L_P1,DWT_EMG5L_P2,DWT_EMG5L_P3,DWT_EMG0R_P1,DWT_EMG0R_P2,DWT_EMG0R_P3,DWT_EMG4R_P1,DWT_EMG4R_P2,DWT_EMG4R_P3,DWT_OYR_P1,DWT_EMG4R_P2,DWT_EMG4R_P3,DWT_EMG4L_P1,DWT_EMG4L_P2,DWT_EMG4L_P3,RMS_GRX,RMS_GRY,RMS_GLZ,RMS_GRZ,RMS_ALX,STD_EMG5L,STD_EMG6L,STD_EMG7L,STD_EMG4L,STD_EMG0R
2.37938,2.30127,2.20754,6.60322,6.37521,5.4256,0.235004,0.0206676,0.0154253,10.225,7.59851,6.28364,10.225,7.59851,6.28364,3.10576,3.10571,3.10556,7.4077,7.40768,7.40764,8.02943,8.02941,8.02934,14.6035,14.6035,14.6035,7.21281,7.2128,7.21273,4.33986,2.12124,1.38579,19.7293,8.83149,8.10895,40.2513,17.0346,10.8105,9.46837,9.41947,9.17242,2.72299,1.17518,0.881383,28.2041,28.2041,12.7566,28.2041,0.962757,3.65908,2.6908,8.07227,1.41135,5.85274
7.29185,5.34757,5.28391,2.62394,2.50756,2.43613,0.169922,0,0,4.0625,0,0,4.0625,0,0,15.0515,15.0514,15.0513,12.5527,12.5527,12.5525,3.0103,3.01024,3.01008,5.47417,5.47412,5.47408,19.9123,19.9122,19.912,9.89949,9.89949,9.89949,26.2118,15.5901,12.3464,2.71587,1.16407,0.971375,12.6875,12.2136,11.7572,5.65685,5.65685,5.65685,39.6027,39.6027,4.0625,39.6027,0.978516,0,0,0,0,12.3004
0.866667,0.613652,0.410443,1.87954,1.8682,1.8,0.439366,0.163017,0.046734,25.9403,12.8899,10.7148,25.9403,12.8899,10.7148,25.4894,25.4894,25.4893,14.8141,14.814,14.814,19.3805,19.3804,19.3804,3.498,3.49795,3.4978,26.7052,26.7052,26.7052,66.5251,50.0208,27.3704,0.303533,0.197606,0.125731,6.49175,3.8436,0.250639,9.20399,9.13524,9.0947,28.786,12.3279,11.854,10.0788,10.0788,26.7968,10.0788,0.691718,23.7724,9.64653,5.07141,19.5075,1.01354
0,0,0,3,0,0,0.375564,0.135383,0.0847381,19.0694,17.3841,15.9957,19.0694,17.3841,15.9957,0.999819,0.99975,0.999545,1.83635,1.83629,1.83613,4.27108,4.27102,4.27084,3.0103,3.01024,3.01008,-2.86281,-2.86283,-2.86297,7.90505,4.18421,3.97357,0,0,0,4.24264,4.24264,4.24264,8.97574,8.97574,8.97574,9.19347,0.361205,0.303333,0.8125,0.8125,24.2026,0.8125,0.85619,10.2439,4.09521,2.07754,5.63915,0
1.35556,0.803786,0.761218,1.08889,1.08719,0.784493,0.505317,0.298145,0.102302,19.5888,19.0092,14.1967,19.5888,19.0092,14.1967,19.2682,19.2682,19.2681,31.123,31.123,31.1229,25.6667,25.6667,25.6666,3.58037,3.58031,3.58013,22.7354,22.7354,22.7354,46.0176,35.9965,3.65136,1.98942,0.249947,-0.10866,1.38869,0.78898,0.681854,5.32744,5.29156,5.27902,19.4809,15.6931,13.2206,5.9662,5.9662,31.5037,5.9662,0.746416,13.7894,15.0271,20.1892,12.9934,1.70768
1.31111,1.25218,1.23682,1.13333,0.69282,0.683619,0.510156,0.298115,0.0920672,25.9088,12.673,12.4641,25.9088,12.673,12.4641,19.1317,19.1316,19.1316,29.3271,29.3271,29.3271,29.5907,29.5907,29.5907,1.12592,1.12586,1.12566,21.1927,21.1927,21.1927,35.7293,21.78,10.3577,1.94264,1.72475,1.62231,2.53222,1.7627,0.712256,5.42004,5.39231,5.35825,39.7129,19.6921,10.9459,10.5418,10.5418,30.9193,10.5418,0.766124,14.7377,17.791,17.4438,23.5602,2.34348
1.11111,0.508596,0.484384,1.2,0.626913,0.623511,0.47679,0.279853,0.0828704,16.5721,12.4574,9.77135,16.5721,12.4574,9.77135,26.3496,26.3496,26.3495,24.2926,24.2926,24.2926,28.4087,28.4087,28.4087,1.0411,1.04105,1.0409,24.2455,24.2455,24.2455,57.7613,31.6042,28.2301,0.118005,0.0100164,-0.0832206,1.07636,0.832849,0.469624,5.34929,5.34833,5.33928,57.1852,35.1056,24.3873,8.85172,8.85172,25.3948,8.85172,0.760168,15.3369,16.7215,19.9043,19.593,1.1913
1.26667,0.627251,0.610034,1.2,1.06667,0.686944,0.488759,0.277499,0.0876244,23.4562,18.7374,13.7843,23.4562,18.7374,13.7843,21.6821,21.6821,21.6821,26.3586,26.3586,26.3586,29.6286,29.6285,29.6285,3.54286,3.54281,3.54267,18.6408,18.6408,18.6408,61.0811,42.5591,33.1232,0.390426,0.368268,-0.204466,0.418281,-0.035806,-0.0435687,5.2492,5.2385,5.22661,4.90399,4.66302,2.32696,9.52614,9.52614,35.5975,9.52614,0.749084,17.3376,12.9467,16.4439,18.2026,1.38826
1.2,0.805566,0.77114,1.35556,0.96618,0.789789,0.508214,0.251063,0.0636346,18.4519,13.6184,12.9138,18.4519,13.6184,12.9138,23.6647,23.6647,23.6646,27.4884,27.4884,27.4883,30.0203,30.0203,30.0203,1.19311,1.19305,1.19287,25.8627,25.8626,25.8626,45.6164,41.517,33.172,1.02905,0.264718,0.0687505,0.504676,0.0877308,0.064277,5.02631,5.01743,4.99626,28.4881,23.2799,22.9,9.68632,9.68632,26.578,9.68632,0.748496,17.7204,24.7277,29.8879,20.5742,1.53149
0.955556,0.585609,0.58295,1.01247,0.911111,0.661116,0.501855,0.300248,0.0916997,23.783,18.3515,16.2299,23.783,18.3515,16.2299,25.7051,25.7051,25.7051,27.6676,27.6676,27.6675,27.0068,27.0068,27.0068,4.72816,4.7281,4.72793,25.453,25.453,25.453,46.8121,30.9672,30.2837,0.591453,0.551321,0.0750782,1.91372,0.961396,0.68446,5.01303,4.97459,4.97125,32.3133,19.5727,15.567,10.6283,10.6283,35.5924,10.6283,0.813232,19.2821,20.6652,34.4849,19.2656,1.29607
