FFT_EMG0R_P1,FFT_EMG0R_P2,FFT_EMG0R_P3,FFT_EMG4R_P1,FFT_EMG4R_P2,FFT_EMG4R_P3,FFT_ALY_P1,FFT_ALY_P2,FFT_ALY_P3,FFT_GLY_P1,FFT_GLY_P2,FFT_GLY_P3,FFT_GLZ_P1,FFT_GLZ_P2,FFT_GLZ_P3,PSD_EMG4L_P1,PSD_EMG4L_P2,PSD_EMG4L_P3,PSD_EMG0L_P1,PSD_EMG0L_P2,PSD_EMG0L_P3,PSD_EMG1L_P1,PSD_EMG1L_P2,PSD_EMG1L_P3,PSD_EMG3R_P1,PSD_EMG3R_P2,PSD_EMG3R_P3,PSD_EMG5L_P1,PSD_EMG5L_P2,PSD_EMG5L_P3,DWT_EMG5L_P1,DWT_EMG5L_P2,DWT_EMG5L_P3,DWT_EMG0R_P1,DWT_EMG0R_P2,DWT_EMG0R_P3,DWT_EMG4R_P1,DWT_EMG4R_P2,DWT_EMG4R_P3,DWT_OYR_P1,DWT_EMG4R_P2,DWT_EMG4R_P3,DWT_EMG4L_P1,DWT_EMG4L_P2,DWT_EMG4L_P3,RMS_GRX,RMS_GRY,RMS_GLZ,RMS_GRZ,RMS_ALX,STD_EMG5L,STD_EMG6L,STD_EMG7L,STD_EMG4L,STD_EMG0R
3.39991,3.16275,2.93729,1.31015,1.14156,1.10103,0.242839,0.0142001,0.00966472,8.18363,6.16727,6.05864,8.18363,6.16727,6.05864,2.19434,2.19426,2.19401,6.31011,6.31006,6.30991,7.34461,7.34454,7.34435,5.54114,5.5411,5.54103,7.68667,7.68659,7.68637,0.844976,0.829916,0.262687,14.185,8.86062,6.88804,4.93836,2.92861,2.70658,10.8393,10.8123,10.5608,0.362574,0.0851506,-0.253594,41.5201,41.5201,11.6779,41.5201,0.957336,3.00454,2.536,6.32559,1.07073,6.92259
2.46667,2.34327,2.17425,1.87929,1.75556,1.59814,0.235645,0.0129082,0.0126594,6.93886,5.50351,5.49363,6.93886,5.50351,5.49363,1.45142,1.45138,1.45125,3.46184,3.46177,3.46159,1.22701,1.22696,1.22681,11.4987,11.4986,11.4984,5.5987,5.59865,5.5985,5.97113,1.73947,1.45102,1.56605,1.47422,1.30116,2.63507,2.51394,1.66079,10.9076,10.8517,10.571,1.75865,0.63441,0.437852,44.0872,44.0872,9.98244,44.0872,0.960441,5.24385,2.29844,1.29607,1.36441,5.43808
0,0,0,3,0,0,0.445388,0.119519,0.103683,16.1155,14.1039,11.7732,16.1155,14.1039,11.7732,15.8214,15.8214,15.8213,16.4712,16.4712,16.4712,18.1652,18.1652,18.1652,3.0103,3.01024,3.01008,18.072,18.072,18.072,8.7457,2.91567,2.7161,0,0,0,4.24264,4.24264,4.24264,8.97574,8.97574,8.97574,24.6961,6.14407,5.05473,0.8125,0.8125,23.7535,0.8125,0.777474,11.4165,5.1672,14.2449,9.12688,0
0,0,0,3,0,0,0.427365,0.13936,0.0790506,15.9477,12.1853,8.55183,15.9477,12.1853,8.55183,5.62922,5.62919,5.62911,6.36122,6.3612,6.36119,13.2391,13.2391,13.2391,3.0103,3.01024,3.01008,3.50491,3.5049,3.50485,31.0224,12.9408,12.447,0,0,0,4.24264,4.24264,4.24264,8.97574,8.97574,8.97574,8.49161,2.05316,0.285524,0.8125,0.8125,19.6463,0.8125,0.81116,10.1313,5.44226,9.32288,7.46994,0
0,0,0,3,0,0,0.463987,0.136469,0.092656,13.6895,12.3184,9.02274,13.6895,12.3184,9.02274,6.21868,6.21865,6.21859,7.34385,7.34384,7.3438,8.87361,8.87356,8.87355,3.0103,3.01024,3.01008,9.17274,9.17271,9.17269,23.728,15.7545,11.0289,0,0,0,4.24264,4.24264,4.24264,8.97574,8.97574,8.97574,13.5146,4.87433,3.369,0.8125,0.8125,19.1017,0.8125,0.781813,11.6878,4.75054,12.7984,6.93658,0
0,0,0,3,0,0,0.437652,0.16155,0.0934892,14.5784,12.1572,10.3627,14.5784,12.1572,10.3627,2.66791,2.66789,2.66781,1.66083,1.66075,1.66051,7.40011,7.40008,7.39997,3.0103,3.01024,3.01008,-1.47364,-1.47364,-1.47375,32.2357,29.6235,26.7506,0,0,0,4.24264,4.24264,4.24264,8.97574,8.97574,8.97574,20.5383,2.47607,0.383565,0.8125,0.8125,22.7558,0.8125,0.850566,13.8662,3.55221,18.1162,6.03257,0
0,0,0,3,0,0,0.46747,0.10798,0.101582,14.5411,14.3017,12.2795,14.5411,14.3017,12.2795,16.1237,16.1237,16.1237,14.026,14.026,14.0259,20.8512,20.8512,20.8512,3.0103,3.01024,3.01008,21.8043,21.8043,21.8043,34.3964,22.4447,22.2198,0,0,0,4.24264,4.24264,4.24264,8.97574,8.97574,8.97574,37.3942,18.0629,17.7846,0.8125,0.8125,24.3733,0.8125,0.775879,19.0067,6.77078,28.1105,8.96599,0
0,0,0,3,0,0,0.504709,0.112323,0.0660019,19.8948,12.2542,10.478,19.8948,12.2542,10.478,26.1763,26.1763,26.1763,17.6704,17.6703,17.6703,20.414,20.414,20.414,3.0103,3.01024,3.01008,24.4503,24.4503,24.4503,42.098,30.8922,25.0195,0,0,0,4.24264,4.24264,4.24264,8.97574,8.97574,8.97574,63.6771,41.4163,35.2141,0.8125,0.8125,22.4281,0.8125,0.767364,17.682,11.8302,16.0547,20.6833,0
0,0,0,3,0,0,0.465647,0.10973,0.0951267,13.6691,11.2081,9.60329,13.6691,11.2081,9.60329,21.0793,21.0793,21.0793,10.8244,10.8243,10.8242,10.7808,10.7807,10.7807,3.0103,3.01024,3.01008,19.574,19.5739,19.5739,25.5188,17.745,5.73157,0,0,0,4.24264,4.24264,4.24264,8.97574,8.97574,8.97574,25.1392,20.8651,7.83409,0.8125,0.8125,20.6803,0.8125,0.798382,12.7518,6.91383,19.8086,13.2181,0
0,0,0,3,0,0,0.468305,0.116278,0.111069,17.7719,12.9242,10.9036,17.7719,12.9242,10.9036,20.1376,20.1376,20.1375,13.2123,13.2123,13.2123,14.7159,14.7159,14.7158,3.0103,3.01024,3.01008,21.5274,21.5274,21.5273,41.9837,15.1677,4.55885,0,0,0,4.24264,4.24264,4.24264,8.97574,8.97574,8.97574,17.8021,7.13113,1.87496,0.8125,0.8125,24.3063,0.8125,0.80611,16.5164,7.8233,13.7333,8.77468,0
0,0,0,3,0,0,0.470649,0.121611,0.1033,12.6016,11,10.5716,12.6016,11,10.5716,17.6462,17.6461,17.6461,14.6809,14.6809,14.6809,20.8028,20.8028,20.8028,3.0103,3.01024,3.01008,18.8756,18.8756,18.8756,29.8356,23.4567,12.3217,0,0,0,4.24264,4.24264,4.24264,8.97574,8.97574,8.97574,0.20533,0.139179,0.00409896,0.8125,0.8125,20.2451,0.8125,0.779233,10.2879,8.0859,15.8673,9.20128,0
0,0,0,3,0,0,0.46862,0.122396,0.116496,15.715,12.1951,8.15521,15.715,12.1951,8.15521,13.6803,13.6803,13.6803,13.3405,13.3405,13.3404,11.5396,11.5396,11.5395,3.0103,3.01024,3.01008,10.9976,10.9976,10.9975,21.2793,21.2602,19.0904,0,0,0,4.24264,4.24264,4.24264,8.97574,8.97574,8.97574,19.3275,11.2771,9.24168,0.8125,0.8125,23.1289,0.8125,0.774243,17.8868,4.39502,13.6045,8.29841,0
0,0,0,3,0,0,0.480241,0.110122,0.101355,13.0667,10.3615,8.12903,13.0667,10.3615,8.12903,18.2272,18.2272,18.2272,11.9644,11.9644,11.9643,17.2951,17.295,17.295,3.0103,3.01024,3.01008,20.2831,20.283,20.283,23.9069,15.7393,5.89492,0,0,0,4.24264,4.24264,4.24264,8.97574,8.97574,8.97574,41.0943,12.3755,6.98151,0.8125,0.8125,19.7569,0.8125,0.76026,20.1142,8.94805,13.1113,11.6989,0
0,0,0,3,0,0,0.464779,0.125338,0.103939,20.235,17.0164,15.3532,20.235,17.0164,15.3532,16.7549,16.7549,16.7549,12.6929,12.6929,12.6928,17.6135,17.6134,17.6134,3.0103,3.01024,3.01008,17.3012,17.3012,17.3012,26.9806,8.21529,2.52326,0,0,0,4.24264,4.24264,4.24264,8.97574,8.97574,8.97574,13.4705,13.0756,12.5133,0.8125,0.8125,29.6317,0.8125,0.787041,9.52498,6.51905,14.4984,8.32927,0
0.896282,0.812061,0.810915,0.977778,0.733944,0.691071,0.272808,0.0369744,0.0354909,5.54331,5.45783,5.04246,5.54331,5.45783,5.04246,-46.9762,-46.9762,-46.9762,2.81683,2.81678,2.81663,-27.7573,-27.7573,-27.7573,4.80386,4.8038,4.80363,-43.5618,-43.5618,-43.5618,1.32149,1.23556,0.227297,4.86547,4.08147,2.68042,2.58482,1.21994,0.836683,4.07952,3.78869,3.78784,1.61721,1.54827,0.0296355,8.68305,8.68305,11.6859,8.68305,0.921384,1.45227,1.73205,9.51145,0.814639,1.88883
1.04444,0.781185,0.694396,1.55556,0.706099,0.621804,0.410482,0.198862,0.0859399,32.838,23.6085,19.2309,32.838,23.6085,19.2309,10.5986,10.5986,10.5985,18.6021,18.6021,18.6021,21.9818,21.9818,21.9818,0.155757,0.155714,0.155586,14.2442,14.2441,14.2441,15.8708,14.8514,10.074,0.887422,0.389938,0.111824,0.275741,0.100966,-0.185227,3.96461,3.73936,3.73871,3.4199,3.39393,1.56234,8.74163,8.74163,41.283,8.74163,0.84763,6.91836,11.1834,15.3092,4.42388,1.33068
1.18462,0.902175,0.864301,0.755556,0.70088,0.631459,0.423079,0.217188,0.145156,31.0309,25.6821,20.6471,31.0309,25.6821,20.6471,7.65826,7.65825,7.65822,12.4865,12.4865,12.4864,19.8195,19.8194,19.8193,3.18022,3.18018,3.18007,14.7127,14.7127,14.7126,15.9574,6.62604,1.77605,2.45239,2.17616,2.0186,1.82355,1.4339,1.25097,3.97353,3.73476,3.70199,9.74149,7.12272,2.04091,8.2688,8.2688,42.7894,8.2688,0.835184,8.61506,6.83004,17.1172,5.25684,2.29778
1.06667,1.03168,0.917506,1.2,1.03184,0.861699,0.438216,0.212045,0.0974801,28.23,26.3922,22.1799,28.23,26.3922,22.1799,13.0476,13.0476,13.0476,16.7428,16.7428,16.7428,17.3949,17.3949,17.3949,-1.65852,-1.65855,-1.65856,18.7041,18.7041,18.7041,18.5525,8.87938,4.32494,2.10868,1.9961,1.56994,0.485718,1.1252e-05,-0.108628,3.8627,3.64532,3.63753,7.10484,5.055,3.32419,8.06587,8.06587,38.9132,8.06587,0.844096,9.24405,8.08934,16.7231,5.44977,1.95866
1.17778,0.771082,0.621521,0.933333,0.666667,0.59773,0.442849,0.153317,0.101492,24.9217,23.7256,17.1974,24.9217,23.7256,17.1974,8.08333,8.08331,8.08323,14.5512,14.5512,14.5512,16.3079,16.3079,16.3079,5.5527,5.55266,5.55255,18.2558,18.2558,18.2558,27.827,8.41225,5.46879,0.591223,0.0689638,-0.210051,1.16729,0.525118,-0.0696773,3.55415,3.53173,3.53145,5.96374,4.96926,3.9749,7.81188,7.81188,37.2682,7.81188,0.883534,12.9612,5.98863,20.0134,4.49388,1.31924
1.02222,0.706592,0.663697,0.822222,0.647173,0.590454,0.470801,0.151166,0.141883,29.7626,27.6169,20.3234,29.7626,27.6169,20.3234,10.0401,10.0401,10.0401,14.8276,14.8275,14.8275,18.9923,18.9923,18.9922,4.84768,4.84763,4.8475,15.7674,15.7673,15.7673,8.23651,6.01067,5.06416,1.53572,0.363055,-0.0790221,1.60053,1.3609,0.932068,3.61391,3.43364,3.43145,9.9215,3.01816,2.607,8.35566,8.35566,47.3992,8.35566,0.839612,8.60497,9.56863,15.9302,3.57912,1.32268
0.933333,0.630109,0.530136,1.28889,0.940504,0.877942,0.468424,0.152798,0.139325,36.2504,24.4573,18.2821,36.2504,24.4573,18.2821,13.913,13.913,13.913,17.5219,17.5219,17.5219,22.1513,22.1512,22.1512,0.115126,0.115053,0.114833,18.887,18.887,18.887,26.3587,1.05713,0.78739,1.6222,0.652418,0.311269,1.13098,0.51521,0.426983,3.37932,3.36708,3.36226,13.2987,7.54125,6.14304,10.494,10.494,42.3411,10.494,0.838989,10.0835,7.78285,16.3905,5.84635,1.2685
0.755556,0.727895,0.671723,1.08889,0.722396,0.649456,0.468197,0.151087,0.122914,30.4935,26.538,22.3845,30.4935,26.538,22.3845,12.5119,12.5119,12.5116,19.5049,19.5048,19.5048,22.303,22.3029,22.3029,4.21554,4.21547,4.21528,12.4598,12.4598,12.4598,16.5262,7.73211,5.31278,1.78172,1.67654,0.942689,1.54375,0.939898,0.387343,3.36783,3.35669,3.34263,15.9303,3.88035,2.4267,10.7165,10.7165,44.5756,10.7165,0.872853,6.742,7.87285,8.94636,6.19441,1.49477
1.04444,0.609301,0.565836,1.09682,1,0.840497,0.467936,0.16477,0.125363,41.2904,40.9525,32.3191,41.2904,40.9525,32.3191,10.0611,10.061,10.061,18.249,18.249,18.2489,21.2219,21.2219,21.2218,3.30785,3.30781,3.30768,15.4013,15.4013,15.4012,15.6614,9.46468,9.34635,3.05151,0.823242,0.793215,1.53614,0.663001,0.610764,3.28593,3.28125,3.27918,11.3286,5.23875,4.38278,13.7527,13.7527,63.745,13.7527,0.883509,8.35742,7.29099,21.9219,5.6842,1.26051
