FFT_EMG0R_P1,FFT_EMG0R_P2,FFT_EMG0R_P3,FFT_EMG4R_P1,FFT_EMG4R_P2,FFT_EMG4R_P3,FFT_ALY_P1,FFT_ALY_P2,FFT_ALY_P3,FFT_GLY_P1,FFT_GLY_P2,FFT_GLY_P3,FFT_GLZ_P1,FFT_GLZ_P2,FFT_GLZ_P3,PSD_EMG4L_P1,PSD_EMG4L_P2,PSD_EMG4L_P3,PSD_EMG0L_P1,PSD_EMG0L_P2,PSD_EMG0L_P3,PSD_EMG1L_P1,PSD_EMG1L_P2,PSD_EMG1L_P3,PSD_EMG3R_P1,PSD_EMG3R_P2,PSD_EMG3R_P3,PSD_EMG5L_P1,PSD_EMG5L_P2,PSD_EMG5L_P3,DWT_EMG5L_P1,DWT_EMG5L_P2,DWT_EMG5L_P3,DWT_EMG0R_P1,DWT_EMG0R_P2,DWT_EMG0R_P3,DWT_EMG4R_P1,DWT_EMG4R_P2,DWT_EMG4R_P3,DWT_OYR_P1,DWT_EMG4R_P2,DWT_EMG4R_P3,DWT_EMG4L_P1,DWT_EMG4L_P2,DWT_EMG4L_P3,RMS_GRX,RMS_GRY,RMS_GLZ,RMS_GRZ,RMS_ALX,STD_EMG5L,STD_EMG6L,STD_EMG7L,STD_EMG4L,STD_EMG0R
5.12069,4.47309,4.42054,6.01375,5.00443,4.8848,0.407075,0.246003,0.105136,18.346,13.3511,10.0307,18.346,13.3511,10.0307,15.3702,15.3702,15.3702,19.315,19.315,19.315,21.3086,21.3086,21.3086,12.1816,12.1815,12.1813,14.8601,14.8601,14.8601,18.4252,14.8789,6.49631,25.6891,14.4753,8.26138,6.41374,1.03572,0.514031,10.9096,10.8938,10.7613,24.3416,11.8018,6.30301,50.8413,50.8413,22.4124,50.8413,0.877647,5.64541,11.3022,18.836,9.79089,9.65265
4.46119,4.12094,4.04878,3.67029,3.4387,3.31621,0.378961,0.225372,0.129236,15.6192,14.6973,14.3938,15.6192,14.6973,14.3938,9.17873,9.17873,9.17873,17.4309,17.4308,17.4308,16.097,16.097,16.0969,13.0249,13.0249,13.0248,7.36502,7.365,7.36494,10.7374,7.23158,3.67407,11.5335,7.69863,5.62456,23.0514,5.96474,5.55317,11.1771,11.091,10.862,15.6471,14.5665,5.51548,57.1206,57.1206,26.3677,57.1206,0.878373,3.44759,5.1979,14.5532,4.79088,8.93054
4.46181,4.16327,4.00309,3.72084,3.65631,3.51018,0.43444,0.273899,0.0920882,17.4913,11.6783,9.38843,17.4913,11.6783,9.38843,19.187,19.187,19.187,17.94,17.9399,17.9399,18.8827,18.8827,18.8827,14.3426,14.3426,14.3426,12.8258,12.8258,12.8257,10.4297,3.41241,3.29781,35.8733,21.6018,13.5844,16.8366,1.88649,1.46933,11.3542,11.2313,11.1484,35.2969,17.36,13.1324,60.4729,60.4729,21.9239,60.4729,0.842634,5.10743,11.7568,20.2557,9.7994,9.35808
8.32526,6.889,6.868,5.38602,5.33594,5.33057,0.439073,0.286618,0.106321,16.9541,14.3327,12.8676,16.9541,14.3327,12.8676,16.4965,16.4965,16.4964,16.1425,16.1425,16.1425,14.6257,14.6257,14.6256,12.9339,12.9339,12.9339,12.7763,12.7763,12.7762,35.6231,11.0211,8.88013,22.4055,19.0343,4.41777,49.0797,16.0432,1.60124,11.3021,11.0823,11.0641,21.5458,13.4224,10.2881,54.6012,54.6012,22.099,54.6012,0.844139,7.69442,8.92551,23.8242,11.6241,12.2938
7.14824,5.42026,5.23584,4.40693,3.96483,3.82654,0.480621,0.318472,0.0755784,17.8033,11.2552,11.2218,17.8033,11.2552,11.2218,15.168,15.1679,15.1679,15.1489,15.1488,15.1488,17.3752,17.3752,17.3751,15.8061,15.8061,15.806,17.1692,17.1692,17.1692,20.8904,16.0872,12.2835,39.1354,15.9278,15.7784,14.8717,13.651,5.28266,11.2853,11.2056,11.0188,14.282,11.2821,9.16554,47.346,47.346,24.1867,47.346,0.795983,6.56767,11.8551,22.9089,8.61658,11.503
7.13087,6.94073,5.78202,2.51539,2.18481,2.1558,0.436567,0.273118,0.103108,18.9735,15.2827,15.2306,18.9735,15.2827,15.2306,14.4168,14.4168,14.4168,14.4843,14.4842,14.4842,20.3599,20.3599,20.3599,13.0459,13.0459,13.0459,13.3689,13.3689,13.3689,9.39617,7.19592,5.48099,24.2652,13.0968,11.3846,8.0275,1.94063,1.60645,11.1791,11.1003,11.0807,18.3147,3.85474,3.49284,56.0319,56.0319,25.7975,56.0319,0.839097,5.98331,12.8143,17.6218,7.0344,13.0563
6.64545,6.06461,5.28466,2.40288,2.09855,2.04681,0.435449,0.269611,0.11016,17.1695,15.9714,14.7941,17.1695,15.9714,14.7941,15.7956,15.7956,15.7956,18.092,18.092,18.092,20.0598,20.0598,20.0598,12.4808,12.4808,12.4808,11.6435,11.6435,11.6434,10.8842,7.85789,6.91568,10.9161,8.31907,5.91339,19.3077,4.14783,2.71182,11.2936,11.2378,11.1864,36.4162,4.22719,0.890874,53.3001,53.3001,25.2629,53.3001,0.841272,4.83777,7.98072,19.316,9.64197,12.2801
7.26668,6.57834,6.09261,8.11271,7.45895,5.86464,0.406901,0.242477,0.132579,13.4861,12.1189,12.0603,13.4861,12.1189,12.0603,16.7006,16.7006,16.7006,18.5047,18.5047,18.5047,15.191,15.191,15.191,19.8298,19.8297,19.8297,20.8914,20.8914,20.8914,32.7868,8.85035,3.37624,13.1118,11.9054,5.31429,66.641,16.1831,9.61314,11.3337,11.3044,11.2655,15.6014,10.5466,9.7921,54.424,54.424,20.9113,54.424,0.863056,9.29418,16.5509,30.2341,6.22166,13.6448
5.8634,5.33352,4.07345,3.52689,3.47615,3.19879,0.385091,0.227481,0.14195,20.3333,19.3599,16.7779,20.3333,19.3599,16.7779,15.4426,15.4426,15.4426,19.703,19.7029,19.7028,15.0927,15.0927,15.0926,14.6773,14.6773,14.6772,13.6142,13.6142,13.6141,26.8904,6.21613,2.12415,7.38884,5.4365,2.96997,27.6969,7.18612,5.66884,11.4314,11.3433,11.2919,32.4618,8.66448,2.22465,62.5941,62.5941,31.0322,62.5941,0.879511,5.69848,9.84055,25.8757,9.10999,9.25961
9.11989,8.87132,6.6866,3.20689,3.07436,2.69754,0.440951,0.276603,0.0929339,20.1439,14.8923,13.6056,20.1439,14.8923,13.6056,17.1489,17.1488,17.1488,21.3317,21.3317,21.3316,18.5598,18.5598,18.5598,14.3589,14.3589,14.3589,12.5266,12.5265,12.5265,17.2379,5.59305,2.94366,54.2159,35.8348,24.4492,17.824,8.39044,3.84808,11.6564,11.4065,11.3778,33.4209,13.52,5.28494,57.7037,57.7037,24.3467,57.7037,0.848537,5.69689,11.7084,23.0533,8.77393,15.4992
6.65387,5.63616,4.50908,3.04881,2.53514,2.44834,0.408561,0.247908,0.110774,20.9526,16.8885,16.4412,20.9526,16.8885,16.4412,19.1724,19.1724,19.1723,17.0501,17.0501,17.0501,16.2666,16.2666,16.2666,13.2198,13.2198,13.2198,15.2252,15.2252,15.2252,21.1103,2.94846,2.03996,40.7304,28.764,16.4382,14.4232,6.15746,4.16228,11.5894,11.4595,11.3983,25.1714,12.1247,6.58047,58.5778,58.5778,30.5735,58.5778,0.877369,6.35499,10.4781,14.0925,8.82221,10.8925
