FFT_EMG0R_P1,FFT_EMG0R_P2,FFT_EMG0R_P3,FFT_EMG4R_P1,FFT_EMG4R_P2,FFT_EMG4R_P3,FFT_ALY_P1,FFT_ALY_P2,FFT_ALY_P3,FFT_GLY_P1,FFT_GLY_P2,FFT_GLY_P3,FFT_GLZ_P1,FFT_GLZ_P2,FFT_GLZ_P3,PSD_EMG4L_P1,PSD_EMG4L_P2,PSD_EMG4L_P3,PSD_EMG0L_P1,PSD_EMG0L_P2,PSD_EMG0L_P3,PSD_EMG1L_P1,PSD_EMG1L_P2,PSD_EMG1L_P3,PSD_EMG3R_P1,PSD_EMG3R_P2,PSD_EMG3R_P3,PSD_EMG5L_P1,PSD_EMG5L_P2,PSD_EMG5L_P3,DWT_EMG5L_P1,DWT_EMG5L_P2,DWT_EMG5L_P3,DWT_EMG0R_P1,DWT_EMG0R_P2,DWT_EMG0R_P3,DWT_EMG4R_P1,DWT_EMG4R_P2,DWT_EMG4R_P3,DWT_OYR_P1,DWT_EMG4R_P2,DWT_EMG4R_P3,DWT_EMG4L_P1,DWT_EMG4L_P2,DWT_EMG4L_P3,RMS_GRX,RMS_GRY,RMS_GLZ,RMS_GRZ,RMS_ALX,STD_EMG5L,STD_EMG6L,STD_EMG7L,STD_EMG4L,STD_EMG0R
17.5159,14.3441,13.8705,5.19269,4.80694,4.57783,0.246007,0.0207889,0.0170228,8.424,7.68475,7.31212,8.424,7.68475,7.31212,3.60095,3.60091,3.6008,2.47633,2.47629,2.47617,0.652834,0.652782,0.652627,7.8398,7.83975,7.83974,1.10062,1.10052,1.10021,1.88181,1.06367,0.539111,81.8997,25.121,11.2704,26.3501,11.7174,5.43844,14.3597,12.1629,11.4342,0.243822,0.0977546,-0.0244678,51.5702,51.5702,13.5944,51.5702,0.957453,1.65083,2.8236,1.98046,1.14018,31.5233
11.573,10.1059,9.53136,1.79764,1.48889,1.17384,0.237109,0.00990178,0.00794404,7.87656,7.84286,7.35453,7.87656,7.84286,7.35453,1.53679,1.53676,1.53666,5.8346,5.8346,5.83453,1.90603,1.906,1.9059,8.12433,8.1243,8.12426,8.05008,8.05005,8.04997,2.06208,1.89702,1.27411,58.2517,25.766,25.1593,3.74969,2.07209,0.506313,13.2484,12.2775,12.2248,2.01172,1.2434,0.615376,71.7265,71.7265,13.8449,71.7265,0.959349,2.3002,2.48897,13.7474,1.56412,23.6728
16.5815,15.4798,15.1779,2.53273,2.53107,2.49237,0.238921,0.00654067,0.0062541,8.32358,8.08296,6.20981,8.32358,8.08296,6.20981,5.30825,5.30821,5.30811,10.2555,10.2554,10.2554,4.49138,4.49133,4.49117,7.43554,7.43554,7.43551,4.65134,4.65132,4.65124,2.40916,1.1325,0.667639,63.1917,31.9097,22.2496,4.25031,0.663975,0.575217,13.4074,13.3192,12.073,0.584752,0.333927,-0.175511,71.6446,71.6446,12.6253,71.6446,0.958638,1.93061,2.77161,15.4448,1.4135,26.8092
18.8084,18.3785,11.9361,1.87397,1.80598,1.31111,0.24082,0.0178444,0.0127865,9.57819,5.82929,4.57029,9.57819,5.82929,4.57029,5.47842,5.47837,5.4782,11.1351,11.1351,11.1351,7.08949,7.08945,7.08932,6.15854,6.15852,6.15851,5.40388,5.40384,5.4037,5.35835,3.74154,3.69529,73.7473,47.9039,30.8777,1.83912,1.43508,0.355127,13.4136,12.6937,12.1865,1.40076,0.732979,0.462264,52.9501,52.9501,10.9523,52.9501,0.961129,2.61542,2.20353,11.5325,1.57538,28.0524
7.4663,7.40787,7.24623,1.71376,1.58157,1.53586,0.239887,0.0142221,0.013345,8.64001,7.34784,7.3052,8.64001,7.34784,7.3052,5.09836,5.09833,5.09823,3.21703,3.21701,3.217,5.41121,5.41116,5.41101,9.20902,9.20901,9.20893,10.7832,10.7832,10.7831,3.00284,2.61853,1.28217,24.6734,10.2203,5.5786,9.53153,6.3124,3.2141,13.7786,13.5335,12.3,2.18015,1.30629,1.11716,70.5499,70.5499,12.6615,70.5499,0.960218,3.58124,2.76577,8.14403,1.68415,17.5331
6.78395,6.6727,6.07128,11.2771,9.78937,8.73806,0.179742,0.031728,0.0253647,6.08853,4.48186,4.28758,6.08853,4.48186,4.28758,5.83944,5.83937,5.83916,-0.402074,-0.40214,-0.40234,4.42556,4.42548,4.42525,19.7313,19.7313,19.7312,8.03626,8.03624,8.0362,6.75369,4.72323,2.57092,49.9216,37.8928,26.4395,61.0765,54.2794,15.7073,7.77433,7.73941,7.72002,1.98344,0.428259,0.0439189,31.1407,31.1407,9.86312,31.1407,0.975789,3.84721,6.72948,4.9998,1.92459,14.7904
3.04389,2.87426,2.78944,4.44381,3.33396,3.21621,0.18929,0.023265,0.0103661,7.01994,6.11777,5.46847,7.01994,6.11777,5.46847,6.05799,6.05795,6.05784,-0.615515,-0.615571,-0.615738,-0.381991,-0.38205,-0.382225,3.01319,3.01318,3.0131,2.29396,2.2939,2.29371,-0.0409251,-0.0432721,-0.236036,6.85997,5.29873,5.08839,10.2026,7.60216,7.35359,7.99003,7.9754,7.94896,0.283406,0.0835024,-0.0888953,26.0617,26.0617,11.4373,26.0617,0.972588,1.11237,1.05792,1.10691,1.01852,5.98314
4.40329,3.48643,2.5902,4.27115,3.56335,3.40852,0.179688,0,0,0.375,0,0,0.375,0,0,3.0103,3.01024,3.01008,3.0103,3.01024,3.01008,3.0103,3.01024,3.01008,7.76275,7.76267,7.76243,3.0103,3.01024,3.01008,-1.41421,-1.41421,-1.41421,22.1888,9.39778,9.20581,22.4856,13.0762,4.12061,8.06125,8.05669,8.04735,1.41421,1.41421,1.41421,14.1751,14.1751,0.375,14.1751,0.969727,0,0,0,0,6.6926
4.80708,3.4438,3.35803,8.07272,7.16174,7.05029,0.179688,0,0,0.375,0,0,0.375,0,0,3.0103,3.01024,3.01008,3.0103,3.01024,3.01008,3.0103,3.01024,3.01008,19.1565,19.1565,19.1565,3.0103,3.01024,3.01008,-1.41421,-1.41421,-1.41421,18.2929,12.1241,10.1541,46.3249,23.6362,7.49146,8.17959,8.15455,8.10712,1.41421,1.41421,1.41421,24.0287,24.0287,0.375,24.0287,0.969727,0,0,0,0,7.82369
6.2201,5.90564,5.81218,7.99357,7.33869,5.81706,0.179688,0,0,0.375,0,0,0.375,0,0,3.0103,3.01024,3.01008,3.0103,3.01024,3.01008,3.0103,3.01024,3.01008,21.8314,21.8313,21.8312,3.0103,3.01024,3.01008,-1.41421,-1.41421,-1.41421,39.5832,16.4599,6.54755,60.5539,8.8412,5.56687,8.34677,8.33517,8.29907,1.41421,1.41421,1.41421,29.6663,29.6663,0.375,29.6663,0.969727,0,0,0,0,13.1498
