FFT_EMG0R_P1,FFT_EMG0R_P2,FFT_EMG0R_P3,FFT_EMG4R_P1,FFT_EMG4R_P2,FFT_EMG4R_P3,FFT_ALY_P1,FFT_ALY_P2,FFT_ALY_P3,FFT_GLY_P1,FFT_GLY_P2,FFT_GLY_P3,FFT_GLZ_P1,FFT_GLZ_P2,FFT_GLZ_P3,PSD_EMG4L_P1,PSD_EMG4L_P2,PSD_EMG4L_P3,PSD_EMG0L_P1,PSD_EMG0L_P2,PSD_EMG0L_P3,PSD_EMG1L_P1,PSD_EMG1L_P2,PSD_EMG1L_P3,PSD_EMG3R_P1,PSD_EMG3R_P2,PSD_EMG3R_P3,PSD_EMG5L_P1,PSD_EMG5L_P2,PSD_EMG5L_P3,DWT_EMG5L_P1,DWT_EMG5L_P2,DWT_EMG5L_P3,DWT_EMG0R_P1,DWT_EMG0R_P2,DWT_EMG0R_P3,DWT_EMG4R_P1,DWT_EMG4R_P2,DWT_EMG4R_P3,DWT_OYR_P1,DWT_EMG4R_P2,DWT_EMG4R_P3,DWT_EMG4L_P1,DWT_EMG4L_P2,DWT_EMG4L_P3,RMS_GRX,RMS_GRY,RMS_GLZ,RMS_GRZ,RMS_ALX,STD_EMG5L,STD_EMG6L,STD_EMG7L,STD_EMG4L,STD_EMG0R
23.2383,16.6903,16.6258,12.1533,12.03,11.699,0.227441,0.0218207,0.0173209,9.16439,8.16902,8.01832,9.16439,8.16902,8.01832,3.41036,3.41036,3.41035,9.43942,9.4394,9.43933,2.70059,2.70057,2.70052,22.2023,22.2023,22.2023,5.68459,5.68459,5.68457,5.09945,3.59541,2.23164,43.6318,36.31,36.1474,52.1755,38.022,5.81662,14.6169,14.1,13.1665,2.17379,1.23333,0.673525,91.3817,91.3817,15.2591,91.3817,0.964608,2.47615,4.23191,12.6265,1.73147,38.0459
9.995135,8.102281,7.765427,9.508027,9.349655,8.29999,0.1910807,0.03042658,0.01846126,8.023223,7.975546,7.124054,8.023223,7.975546,7.124054,3.683715,3.683649,3.683452,4.260836,4.260789,4.260645,4.599312,4.599263,4.599116,20.13615,20.13615,20.13611,3.684667,3.684595,3.684377,0.5412513,0.04873027,0.006704008,45.83582,28.00263,24.1968,104.9527,23.10202,22.5269,14.61222,13.34409,13.31137,1.039749,0.9156408,-0.07504424,102.2673,102.2673,14.0629,102.2673,0.9732361,1.710927,3.725153,11.76066,1.391896,19.27198
10.5767,10.5011,8.86819,3.21433,3.06643,3.02437,0.227648,0.0200599,0.0168783,9.68434,8.2392,7.559,9.68434,8.2392,7.559,2.31071,2.31067,2.31055,2.70653,2.70652,2.70645,3.07488,3.07482,3.07465,18.0315,18.0315,18.0315,5.96276,5.96271,5.96257,2.22285,1.60894,1.33115,64.9581,13.3337,7.15085,3.50454,2.17287,0.0344208,14.6428,13.3592,13.1795,0.976865,0.906793,0.903465,75.7412,75.7412,14.3607,75.7412,0.964102,1.65816,4.27785,9.56435,1.31694,19.3363
7.92125,7.82854,7.78916,11.2531,11.0808,9.07329,0.227572,0.0169209,0.0131272,8.58477,7.18384,6.43302,8.58477,7.18384,6.43302,4.28382,4.28376,4.2836,5.00959,5.00958,5.00951,2.04093,2.04089,2.04075,16.6432,16.6432,16.6432,2.40629,2.40629,2.40626,2.51509,2.19137,0.488504,18.4614,11.1921,10.6833,30.3284,29.9206,7.74869,14.4687,13.8016,13.3483,1.67941,0.0656373,-0.051887,74.3472,74.3472,13.0301,74.3472,0.964371,1.89497,5.10793,11.7704,1.43266,17.3562
17.1009,13.7343,9.37723,6.81596,6.71552,6.55687,0.225087,0.0168241,0.0158767,11.204,6.78111,5.90814,11.204,6.78111,5.90814,6.49246,6.49242,6.4923,4.52487,4.52484,4.52484,0.949473,0.949432,0.949312,17.7252,17.7252,17.7252,6.84166,6.8416,6.84142,0.681155,0.183661,-0.176765,14.0886,11.1021,9.49303,37.5699,12.8872,11.5044,13.3773,13.3417,13.29,0.289156,-0.0614076,-0.0842458,71.9299,71.9299,13.6311,71.9299,0.964723,1.54168,3.09659,13.0557,1.4897,25.3049
4.53825,4.01837,3.12925,2.65245,2.41649,2.3136,0.179688,0,0,0.375,0,0,0.375,0,0,3.0103,3.01024,3.01008,3.0103,3.01024,3.01008,3.0103,3.01024,3.01008,5.67801,5.67797,5.67785,3.0103,3.01024,3.01008,-1.41421,-1.41421,-1.41421,15.4783,12.3485,10.8708,30.033,21.0322,8.59146,9.51512,9.45168,9.33765,1.41421,1.41421,1.41421,23.3446,23.3446,0.375,23.3446,0.969727,0,0,0,0,7.58774
3.92141,3.72269,3.65351,5.29868,4.04396,4.00305,0.179688,0,0,0.375,0,0,0.375,0,0,3.0103,3.01024,3.01008,3.0103,3.01024,3.01008,3.0103,3.01024,3.01008,18.2943,18.2943,18.2943,3.0103,3.01024,3.01008,-1.41421,-1.41421,-1.41421,19.0701,12.6503,10.2992,26.0907,9.02525,3.74345,10.2949,10.1005,10.0919,1.41421,1.41421,1.41421,42.3338,42.3338,0.375,42.3338,0.969727,0,0,0,0,8.26438
7.58034,4.63452,4.59959,3.76685,3.5736,3.55484,0.179688,0,0,0.375,0,0,0.375,0,0,3.0103,3.01024,3.01008,3.0103,3.01024,3.01008,3.0103,3.01024,3.01008,17.0697,17.0697,17.0697,3.0103,3.01024,3.01008,-1.41421,-1.41421,-1.41421,17.6078,12.5148,7.39617,7.61002,7.35363,6.01326,10.4726,10.4201,10.2292,1.41421,1.41421,1.41421,39.77,39.77,0.375,39.77,0.969727,0,0,0,0,11.6922
5.80841,5.55765,5.42787,4.35961,3.07845,2.57624,0.179688,0,0,0.375,0,0,0.375,0,0,3.0103,3.01024,3.01008,3.0103,3.01024,3.01008,3.0103,3.01024,3.01008,7.20501,7.20497,7.20492,3.0103,3.01024,3.01008,-1.41421,-1.41421,-1.41421,10.7365,7.96623,7.58402,12.0847,10.573,7.32164,10.6374,10.5839,10.4658,1.41421,1.41421,1.41421,32.093,32.093,0.375,32.093,0.969727,0,0,0,0,10.6207
5.69951,5.44978,5.00814,4.53151,4.39146,4.09008,0.179688,0,0,0.375,0,0,0.375,0,0,3.0103,3.01024,3.01008,3.0103,3.01024,3.01008,3.0103,3.01024,3.01008,20.0936,20.0936,20.0936,3.0103,3.01024,3.01008,-1.41421,-1.41421,-1.41421,13.5926,11.9182,11.5072,17.0936,14.3003,12.8768,10.9071,10.8677,10.749,1.41421,1.41421,1.41421,44.9807,44.9807,0.375,44.9807,0.969727,0,0,0,0,10.9864
4.83778,4.64052,4.40912,4.81884,4.44956,4.08574,0.179688,0,0,0.375,0,0,0.375,0,0,3.0103,3.01024,3.01008,3.0103,3.01024,3.01008,3.0103,3.01024,3.01008,20.2954,20.2954,20.2954,3.0103,3.01024,3.01008,-1.41421,-1.41421,-1.41421,21.2933,8.92632,7.411,31.3167,21.2618,9.40972,10.9348,10.8331,10.7478,1.41421,1.41421,1.41421,40.5568,40.5568,0.375,40.5568,0.969727,0,0,0,0,10.4475
4.36715,4.27757,4.1128,6.01832,5.8803,5.72681,0.179688,0,0,0.375,0,0,0.375,0,0,3.0103,3.01024,3.01008,3.0103,3.01024,3.01008,3.0103,3.01024,3.01008,13.7477,13.7477,13.7477,3.0103,3.01024,3.01008,-1.41421,-1.41421,-1.41421,19.6612,10.817,9.27817,9.94743,9.75242,9.03555,11.0149,11.0068,10.8676,1.41421,1.41421,1.41421,55.2406,55.2406,0.375,55.2406,0.969727,0,0,0,0,9.97406
6.37862,5.597,5.50547,7.99251,7.5747,6.2993,0.179688,0,0,0.375,0,0,0.375,0,0,3.0103,3.01024,3.01008,3.0103,3.01024,3.01008,3.0103,3.01024,3.01008,24.9313,24.9313,24.9313,3.0103,3.01024,3.01008,-1.41421,-1.41421,-1.41421,38.3436,23.8116,21.158,37.6323,19.7991,17.478,11.1315,11.0802,10.8229,1.41421,1.41421,1.41421,42.8876,42.8876,0.375,42.8876,0.969727,0,0,0,0,13.4316
9.20443,8.16799,6.55113,4.55737,3.30527,2.84619,0.179688,0,0,0.375,0,0,0.375,0,0,3.0103,3.01024,3.01008,3.0103,3.01024,3.01008,3.0103,3.01024,3.01008,17.5284,17.5284,17.5282,3.0103,3.01024,3.01008,-1.41421,-1.41421,-1.41421,10.9126,7.90764,6.02111,25.2009,17.6216,8.12692,11.3274,11.2586,11.0944,1.41421,1.41421,1.41421,43.1083,43.1083,0.375,43.1083,0.969727,0,0,0,0,17.4181
7.59775,5.71701,4.94175,5.5969,4.94752,4.47941,0.179688,0,0,0.375,0,0,0.375,0,0,3.0103,3.01024,3.01008,3.0103,3.01024,3.01008,3.0103,3.01024,3.01008,20.2803,20.2803,20.2802,3.0103,3.01024,3.01008,-1.41421,-1.41421,-1.41421,42.7731,15.144,12.2894,12.1187,10.777,7.73952,11.4304,11.3074,11.29,1.41421,1.41421,1.41421,38.8738,38.8738,0.375,38.8738,0.969727,0,0,0,0,12.3711
7.52498,6.02708,5.32612,5.67021,5.25567,5.20879,0.179688,0,0,0.375,0,0,0.375,0,0,3.0103,3.01024,3.01008,3.0103,3.01024,3.01008,3.0103,3.01024,3.01008,18.1131,18.1131,18.1131,3.0103,3.01024,3.01008,-1.41421,-1.41421,-1.41421,17.3913,16.6184,9.6603,14.5908,10.1033,6.97287,11.766,11.7649,11.5573,1.41421,1.41421,1.41421,45.5064,45.5064,0.375,45.5064,0.969727,0,0,0,0,12.6566
7.38394,6.3805,5.98664,4.52434,4.51203,4.0996,0.179688,0,0,0.375,0,0,0.375,0,0,3.0103,3.01024,3.01008,3.0103,3.01024,3.01008,3.0103,3.01024,3.01008,21.2042,21.2042,21.2042,3.0103,3.01024,3.01008,-1.41421,-1.41421,-1.41421,15.8275,12.0102,5.44059,5.87592,5.76253,5.60312,11.6144,11.5483,11.3888,1.41421,1.41421,1.41421,40.8834,40.8834,0.375,40.8834,0.969727,0,0,0,0,12.6428
7.02224,6.99138,5.71793,4.9872,4.61051,4.17111,0.179688,0,0,0.375,0,0,0.375,0,0,3.0103,3.01024,3.01008,3.0103,3.01024,3.01008,3.0103,3.01024,3.01008,20.4461,20.4461,20.446,3.0103,3.01024,3.01008,-1.41421,-1.41421,-1.41421,21.2185,16.9568,13.028,26.7614,19.2946,14.0189,11.978,11.9639,11.7562,1.41421,1.41421,1.41421,44.6614,44.6614,0.375,44.6614,0.969727,0,0,0,0,12.08
5.97436,4.65434,4.3116,6.32502,4.7878,4.17194,0.179688,0,0,0.375,0,0,0.375,0,0,3.0103,3.01024,3.01008,3.0103,3.01024,3.01008,3.0103,3.01024,3.01008,19.5352,19.5352,19.5352,3.0103,3.01024,3.01008,-1.41421,-1.41421,-1.41421,12.9477,9.1321,6.78783,14.1062,9.13413,4.47959,11.9662,11.9587,11.6185,1.41421,1.41421,1.41421,47.2219,47.2219,0.375,47.2219,0.969727,0,0,0,0,10.5693
6.36277,5.56635,5.04584,6.79346,4.55728,4.54548,0.179688,0,0,0.375,0,0,0.375,0,0,3.0103,3.01024,3.01008,3.0103,3.01024,3.01008,3.0103,3.01024,3.01008,17.4457,17.4457,17.4456,3.0103,3.01024,3.01008,-1.41421,-1.41421,-1.41421,19.2394,16.0885,9.95871,24.5783,21.3714,16.7579,12.0379,12.0042,11.6948,1.41421,1.41421,1.41421,45.2845,45.2845,0.375,45.2845,0.969727,0,0,0,0,10.0634
5.56035,4.85513,4.43804,6.01053,4.88889,4.84958,0.179688,0,0,0.375,0,0,0.375,0,0,3.0103,3.01024,3.01008,3.0103,3.01024,3.01008,3.0103,3.01024,3.01008,25.6889,25.6889,25.6889,3.0103,3.01024,3.01008,-1.41421,-1.41421,-1.41421,11.8749,10.6566,7.38292,22.1032,8.31365,2.79477,12.1549,11.8786,11.8721,1.41421,1.41421,1.41421,57.5416,57.5416,0.375,57.5416,0.969727,0,0,0,0,10.9017
5.98471,4.36187,4.27933,3.91438,3.85815,3.7715,0.179688,0,0,0.375,0,0,0.375,0,0,3.0103,3.01024,3.01008,3.0103,3.01024,3.01008,3.0103,3.01024,3.01008,19.6261,19.6261,19.6261,3.0103,3.01024,3.01008,-1.41421,-1.41421,-1.41421,29.7498,11.7562,11.3824,14.8649,13.0632,5.30984,12.3625,12.25,12.1765,1.41421,1.41421,1.41421,48.156,48.156,0.375,48.156,0.969727,0,0,0,0,10.0941
