FFT_EMG0R_P1,FFT_EMG0R_P2,FFT_EMG0R_P3,FFT_EMG4R_P1,FFT_EMG4R_P2,FFT_EMG4R_P3,FFT_ALY_P1,FFT_ALY_P2,FFT_ALY_P3,FFT_GLY_P1,FFT_GLY_P2,FFT_GLY_P3,FFT_GLZ_P1,FFT_GLZ_P2,FFT_GLZ_P3,PSD_EMG4L_P1,PSD_EMG4L_P2,PSD_EMG4L_P3,PSD_EMG0L_P1,PSD_EMG0L_P2,PSD_EMG0L_P3,PSD_EMG1L_P1,PSD_EMG1L_P2,PSD_EMG1L_P3,PSD_EMG3R_P1,PSD_EMG3R_P2,PSD_EMG3R_P3,PSD_EMG5L_P1,PSD_EMG5L_P2,PSD_EMG5L_P3,DWT_EMG5L_P1,DWT_EMG5L_P2,DWT_EMG5L_P3,DWT_EMG0R_P1,DWT_EMG0R_P2,DWT_EMG0R_P3,DWT_EMG4R_P1,DWT_EMG4R_P2,DWT_EMG4R_P3,DWT_OYR_P1,DWT_EMG4R_P2,DWT_EMG4R_P3,DWT_EMG4L_P1,DWT_EMG4L_P2,DWT_EMG4L_P3,RMS_GRX,RMS_GRY,RMS_GLZ,RMS_GRZ,RMS_ALX,STD_EMG5L,STD_EMG6L,STD_EMG7L,STD_EMG4L,STD_EMG0R
6.18926,5.47433,4.79633,8.05993,7.02153,6.65668,0.249078,0.0434092,0.0243974,12.4023,9.06724,7.91331,12.4023,9.06724,7.91331,1.23102,1.23095,1.23075,8.63204,8.63202,8.63199,5.23868,5.23864,5.23864,11.3034,11.3034,11.3034,4.65157,4.65152,4.65138,3.6894,2.03021,1.82319,17.3561,13.4554,13.3473,34.6463,27.8113,25.8008,15.1692,14.0346,13.932,2.19547,1.13403,0.133937,44.9116,44.9116,17.704,44.9116,0.960315,2.02709,4.22809,9.15026,1.48324,10.801
3.81929,3.29828,2.86465,14.2319,12.6728,12.2486,0.250141,0.0334843,0.0172065,11.7311,8.06353,7.12868,11.7311,8.06353,7.12868,4.51111,4.51108,4.51097,9.59605,9.59598,9.59577,4.88098,4.88092,4.88074,13.7754,13.7754,13.7753,5.39751,5.39746,5.39733,1.02661,0.716459,0.696509,10.889,9.4873,5.26137,40.9147,30.8714,20.2115,14.9977,14.095,14.0569,0.362574,-0.179853,-0.185497,47.3918,47.3918,15.0453,47.3918,0.95663,2.18281,4.74895,6.60234,1.20269,7.47872
3.09343,2.9034,2.48928,8.9433,8.69734,8.4601,0.249989,0.023444,0.0178718,9.81183,7.9264,7.78742,9.81183,7.9264,7.78742,2.44102,2.44095,2.44072,5.95884,5.95878,5.95861,6.88763,6.88759,6.88747,13.0062,13.0062,13.0061,5.47774,5.4777,5.47758,2.70967,0.777498,0.108259,13.0345,7.83121,5.66969,39.5135,38.205,26.2918,14.7674,14.7639,14.3065,-0.154645,-0.422886,-0.642698,44.0068,44.0068,14.2986,44.0068,0.958803,1.49983,2.28588,8.78158,1.17937,6.12966
3.92361,3.68186,3.43781,12.6536,12.3732,12.2581,0.244976,0.0224392,0.0144542,10.5417,10.4712,7.47038,10.5417,10.4712,7.47038,5.86356,5.86352,5.8634,5.33335,5.33333,5.3333,3.61793,3.61788,3.61773,10.1792,10.1792,10.179,8.92509,8.92505,8.9249,1.94838,1.13469,0.679181,13.9233,11.9226,4.21,98.1001,41.7531,9.44775,14.624,14.2228,12.9409,1.87467,0.859953,0.362297,32.2717,32.2717,15.3902,32.2717,0.960095,1.72269,2.95847,5.44096,1.46094,6.67764
3.60761,3.57195,3.344,11.811,10.1772,9.30227,0.250966,0.0151167,0.0130955,9.40253,8.34265,5.92765,9.40253,8.34265,5.92765,4.542,4.54194,4.54178,3.02406,3.02403,3.02396,3.49371,3.49365,3.49346,14.0343,14.0343,14.0342,6.73437,6.73433,6.7342,1.34335,0.879756,0.649763,28.9766,3.51698,1.48121,31.43,29.6949,12.1905,14.3033,13.44,12.5166,0.0300678,-0.0528375,-0.441472,33.4544,33.4544,12.841,33.4544,0.954965,1.78575,2.76468,10.2135,1.1913,7.72919
4.07288,3.86706,3.70719,10.3389,10.1732,8.08051,0.25076,0.0263557,0.0111199,7.53331,7.04818,6.52138,7.53331,7.04818,6.52138,0.958393,0.958303,0.95803,7.59503,7.595,7.5949,2.60119,2.60113,2.60094,12.9132,12.9132,12.9131,6.07594,6.07588,6.0757,1.55137,1.14732,0.912937,5.54678,4.99485,3.68576,27.778,20.3249,5.67054,15.0544,14.5618,13.46,1.55108,0.938528,0.494073,29.9018,29.9018,12.8002,29.9018,0.958467,1.98046,2.71267,3.35222,1.34765,8.55304
4.23408,4.16144,2.99869,10.5549,10.0242,9.41499,0.248199,0.0328014,0.016546,8.34065,8.13824,7.75242,8.34065,8.13824,7.75242,3.98758,3.98753,3.98737,1.57043,1.57037,1.5702,5.54474,5.5447,5.54456,14.5999,14.5999,14.5998,3.74864,3.74864,3.7486,1.5963,1.55277,1.09675,16.8244,8.87989,6.9863,51.5994,24.0577,6.4894,6.67166,5.73575,1.49856,1.03702,0.34608,-0.270914,33.5457,33.5457,13.4743,33.5457,0.957934,1.55927,1.82159,5.62983,1.08619,6.85551
4.00771,2.8971,2.57742,2.42017,2.03356,1.90925,0.179688,0,0,0.375,0,0,0.375,0,0,3.0103,3.01024,3.01008,3.0103,3.01024,3.01008,3.0103,3.01024,3.01008,6.6951,6.69509,6.69507,3.0103,3.01024,3.01008,-1.41421,-1.41421,-1.41421,10.7225,6.25863,5.68232,15.0309,7.22801,6.01099,11.9566,11.9432,11.8515,1.41421,1.41421,1.41421,34.7723,34.7723,0.375,34.7723,0.969727,0,0,0,0,5.5192
8.38847,6.86782,5.49674,10.0801,9.45624,9.37607,0.179688,0,0,0.375,0,0,0.375,0,0,3.0103,3.01024,3.01008,3.0103,3.01024,3.01008,3.0103,3.01024,3.01008,24.6625,24.6625,24.6624,3.0103,3.01024,3.01008,-1.41421,-1.41421,-1.41421,24.6778,12.4467,8.44322,87.0249,8.9312,1.60942,12.0927,12.0862,12.0618,1.41421,1.41421,1.41421,51.0444,51.0444,0.375,51.0444,0.969727,0,0,0,0,13.362
4.92056,3.75358,3.67359,8.85871,8.65702,8.34091,0.179688,0,0,0.375,0,0,0.375,0,0,3.0103,3.01024,3.01008,3.0103,3.01024,3.01008,3.0103,3.01024,3.01008,18.3346,18.3346,18.3346,3.0103,3.01024,3.01008,-1.41421,-1.41421,-1.41421,20.0068,17.8592,5.68396,85.6298,20.8516,6.35025,12.6384,12.5829,12.5609,1.41421,1.41421,1.41421,43.8141,43.8141,0.375,43.8141,0.969727,0,0,0,0,8.80238
