FFT_EMG0R_P1,FFT_EMG0R_P2,FFT_EMG0R_P3,FFT_EMG4R_P1,FFT_EMG4R_P2,FFT_EMG4R_P3,FFT_ALY_P1,FFT_ALY_P2,FFT_ALY_P3,FFT_GLY_P1,FFT_GLY_P2,FFT_GLY_P3,FFT_GLZ_P1,FFT_GLZ_P2,FFT_GLZ_P3,PSD_EMG4L_P1,PSD_EMG4L_P2,PSD_EMG4L_P3,PSD_EMG0L_P1,PSD_EMG0L_P2,PSD_EMG0L_P3,PSD_EMG1L_P1,PSD_EMG1L_P2,PSD_EMG1L_P3,PSD_EMG3R_P1,PSD_EMG3R_P2,PSD_EMG3R_P3,PSD_EMG5L_P1,PSD_EMG5L_P2,PSD_EMG5L_P3,DWT_EMG5L_P1,DWT_EMG5L_P2,DWT_EMG5L_P3,DWT_EMG0R_P1,DWT_EMG0R_P2,DWT_EMG0R_P3,DWT_EMG4R_P1,DWT_EMG4R_P2,DWT_EMG4R_P3,DWT_OYR_P1,DWT_EMG4R_P2,DWT_EMG4R_P3,DWT_EMG4L_P1,DWT_EMG4L_P2,DWT_EMG4L_P3,RMS_GRX,RMS_GRY,RMS_GLZ,RMS_GRZ,RMS_ALX,STD_EMG5L,STD_EMG6L,STD_EMG7L,STD_EMG4L,STD_EMG0R
7.73019,4.65438,4.51549,4.83548,4.65165,4.63532,0.179688,0,0,0.375,0,0,0.375,0,0,3.0103,3.01024,3.01008,3.0103,3.01024,3.01008,3.0103,3.01024,3.01008,4.30048,4.30044,4.3004,3.0103,3.01024,3.01008,-1.41421,-1.41421,-1.41421,40.0931,21.016,19.237,51.1084,44.3159,11.3569,13.1659,13.158,13.053,1.41421,1.41421,1.41421,13.67,13.67,0.375,13.67,0.969727,0,0,0,0,9.86592
3.79578,3.38758,3.00352,7.11953,6.89054,6.38463,0.179688,0,0,0.375,0,0,0.375,0,0,3.0103,3.01024,3.01008,3.0103,3.01024,3.01008,3.0103,3.01024,3.01008,16.1,16.1,16.1,3.0103,3.01024,3.01008,-1.41421,-1.41421,-1.41421,19.0632,14.7482,11.6164,51.0067,18.5642,9.76301,13.192,13.1327,12.9908,1.41421,1.41421,1.41421,31.5627,31.5627,0.375,31.5627,0.969727,0,0,0,0,7.09616
4.4259,4.24526,3.24503,10.4247,9.89876,7.80105,0.179688,0,0,0.375,0,0,0.375,0,0,3.0103,3.01024,3.01008,3.0103,3.01024,3.01008,3.0103,3.01024,3.01008,21.513,21.513,21.513,3.0103,3.01024,3.01008,-1.41421,-1.41421,-1.41421,19.6397,19.1911,9.37347,83.1672,34.8917,30.3749,13.5943,13.3485,13.2663,1.41421,1.41421,1.41421,41.8405,41.8405,0.375,41.8405,0.969727,0,0,0,0,8.52963
7.12651,6.2633,5.96897,11.782,10.2939,9.6889,0.179688,0,0,0.375,0,0,0.375,0,0,3.0103,3.01024,3.01008,3.0103,3.01024,3.01008,3.0103,3.01024,3.01008,30.4463,30.4463,30.4462,3.0103,3.01024,3.01008,-1.41421,-1.41421,-1.41421,70.4734,23.3861,22.5222,70.5457,16.5378,9.71104,13.7926,13.5799,13.4301,1.41421,1.41421,1.41421,28.3375,28.3375,0.375,28.3375,0.969727,0,0,0,0,15.9186
8.05561,7.02469,6.43626,9.78192,8.91356,7.81148,0.179688,0,0,0.375,0,0,0.375,0,0,3.0103,3.01024,3.01008,3.0103,3.01024,3.01008,3.0103,3.01024,3.01008,20.9221,20.9221,20.922,3.0103,3.01024,3.01008,-1.41421,-1.41421,-1.41421,48.7701,44.3999,12.8601,75.8414,62.8863,19.4988,13.6583,13.4391,13.3718,1.41421,1.41421,1.41421,31.7402,31.7402,0.375,31.7402,0.969727,0,0,0,0,13.6191
4.91294,3.72303,3.61496,6.48963,4.97664,4.60954,0.179688,0,0,0.375,0,0,0.375,0,0,3.0103,3.01024,3.01008,3.0103,3.01024,3.01008,3.0103,3.01024,3.01008,10.718,10.718,10.718,3.0103,3.01024,3.01008,-1.41421,-1.41421,-1.41421,11.1645,5.42877,3.17025,29.3492,13.0018,9.36209,13.4609,13.4532,13.4477,1.41421,1.41421,1.41421,28.9473,28.9473,0.375,28.9473,0.969727,0,0,0,0,8.34109
3.63944,2.2279,2.19378,4.97282,4.56299,4.24749,0.179688,0,0,0.375,0,0,0.375,0,0,3.0103,3.01024,3.01008,3.0103,3.01024,3.01008,3.0103,3.01024,3.01008,10.5857,10.5857,10.5855,3.0103,3.01024,3.01008,-1.41421,-1.41421,-1.41421,8.76708,8.00598,6.41846,25.3403,3.50445,0.929481,13.54,13.5028,13.5003,1.41421,1.41421,1.41421,40.0137,40.0137,0.375,40.0137,0.969727,0,0,0,0,5.73779
5.17959,5.08979,4.79311,12.3496,11.752,8.96845,0.179688,0,0,0.375,0,0,0.375,0,0,3.0103,3.01024,3.01008,3.0103,3.01024,3.01008,3.0103,3.01024,3.01008,17.3399,17.3399,17.3399,3.0103,3.01024,3.01008,-1.41421,-1.41421,-1.41421,23.8683,18.0067,14.4893,63.1106,39.8169,30.3678,14.0064,13.865,13.8329,1.41421,1.41421,1.41421,45.2882,45.2882,0.375,45.2882,0.969727,0,0,0,0,9.31616
3.98829,2.96887,2.53642,6.23753,5.2784,4.62285,0.179688,0,0,0.375,0,0,0.375,0,0,3.0103,3.01024,3.01008,3.0103,3.01024,3.01008,3.0103,3.01024,3.01008,8.91815,8.91813,8.91808,3.0103,3.01024,3.01008,-1.41421,-1.41421,-1.41421,14.9541,10.1222,8.96594,37.5411,15.2844,7.50055,14.0206,13.9685,13.9556,1.41421,1.41421,1.41421,35.8214,35.8214,0.375,35.8214,0.969727,0,0,0,0,6.64565
5.07429,4.57284,3.9304,7.6713,6.82489,6.21549,0.179688,0,0,0.375,0,0,0.375,0,0,3.0103,3.01024,3.01008,3.0103,3.01024,3.01008,3.0103,3.01024,3.01008,14.9554,14.9554,14.9554,3.0103,3.01024,3.01008,-1.41421,-1.41421,-1.41421,20.2546,8.49893,7.47558,25.0895,11.9616,9.3155,14.9806,13.9538,13.9355,1.41421,1.41421,1.41421,56.4271,56.4271,0.375,56.4271,0.969727,0,0,0,0,9.02729
