Class,Precision,Recall,F1,Accuracy
1,0.418994413407821,0.420168067226891,0.41958041958042,67%
2,0.175,0.162251655629139,0.168384879725086,63%
3,0.447653429602888,0.457564575645756,0.452554744525548,74%
4,0.151515151515152,0.213178294573643,0.177133655394525,62%
5,0.216145833333333,0.273927392739274,0.241630276564774,62%
6,0.479838709677419,0.363914373088685,0.413913043478261,71%
7,0.221476510067114,0.2,0.210191082802548,63%
8,0.513761467889908,0.355555555555556,0.420262664165103,73%
9,0.140562248995984,0.271317829457364,0.185185185185185,73%
10,0.180451127819549,0.137535816618911,0.15609756097561,62%
